cols/rows; time in ms
0.000977; 14.094093
0.001953; 3.734487
0.002930; 1.904427
0.003906; 1.001312
0.004883; 0.920564
0.005859; 0.521998
0.006836; 0.408612
0.007813; 0.360859
0.008789; 0.363511
0.009766; 0.363260
0.010742; 0.355216
0.011719; 0.355137
0.012695; 0.355019
0.013672; 0.355010
0.014648; 0.354993
0.015625; 0.349663
0.016602; 0.349283
0.017578; 0.349072
0.018555; 0.348690
0.019531; 0.348305
0.020508; 0.347989
0.021484; 0.348003
0.022461; 0.347909
0.023438; 0.347743
0.024414; 0.347642
0.025391; 0.347765
0.026367; 0.347781
0.027344; 0.347561
0.028320; 0.347432
0.029297; 0.347026
0.030273; 0.346719
0.031250; 0.335093
0.032227; 0.644709
0.033203; 0.644888
0.034180; 0.644735
0.035156; 0.644827
0.036133; 0.644678
0.038086; 0.644419
0.039063; 0.644051
0.041016; 0.643933
0.042969; 0.643951
0.044922; 0.643881
0.046875; 0.643678
0.049805; 0.643856
0.051758; 0.643756
0.054688; 0.643918
0.058594; 0.643959
0.062500; 0.643809
0.066406; 0.953124
0.071289; 0.953027
0.076172; 0.952912
0.083008; 0.952675
0.090820; 0.953294
0.099609; 1.262704
0.110352; 1.262832
0.125000; 1.263760
0.142578; 1.572779
0.166016; 1.882609
0.199219; 2.192522
0.250000; 2.504037
0.333008; 3.433362
0.500000; 4.942155
1.000000; 9.858397
